,,Measure,,,,,Settings,,,
SPKR,Channel,Angle (From LP),D (to LP),H (to floor),D (AA to LP Base),h (H-LP),Angle (For Rapture Decoder),Angle (For Spat Decoder),Elevation,Distance
5,1,337,2.138,,,,23,-23,5.00,2.138
12,2,23,2.141,,,,-23,23,5.00,2.141
11,3,68.5,2.126,,,,-68.5,68.5,5.00,2.126
10,4,114,2.14,,,,-114,114,5.00,2.14
9,5,158,2.12,,,,-158,158,5.00,2.12
8,6,204,2.106,,,,156,-156,5.00,2.106
7,7,247,2.107,,,,113,-113,5.00,2.107
6,8,293,2.125,,,,67,-67,5.00,2.125
1,9,315,2.132,2.411,,1.181,45,-45,33.64,2.132
4,10,45,2.126,2.402,,1.172,-45,45,33.45,2.126
3,11,135,2.12,2.385,,1.155,-135,135,33.01,2.12
2,12,225,2.109,2.41,,1.18,135,-135,34.02,2.109
13,13,315,2.754,,2.655,,45,-45,-15.41,2.754
16,14,45,2.754,,2.62,,-45,45,-17.95,2.754
15,15,135,2.751,,2.619,,-135,135,-17.82,2.751
14,16,225,2.692,,2.56,,135,-135,-18.02,2.692
,,,,,,,,,,
,,,,,,,,,,
AA,,Acoustic Axis of Speaker,,,,,,,,
LP,,Listening Positions,1.23m,,,,,,,